date,close,high,low,open,Volume,daily_return,ma_7,52w_high,52w_low
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
2025-04-01,1482.6226806640625,1502.92196020728,1474.2212903040318,1495.0061979771754,12680733,-0.008283254831898646,,,
2025-04-02,1505.593017578125,1510.9349273715397,1491.0726643663595,1491.0726643663595,6193478,0.009738192885412469,,,
2025-04-03,1453.4849853515625,1490.538435185599,1442.3641486583924,1490.538435185599,10459504,-0.024859103904571644,,,
2025-04-04,1409.9241943359375,1429.6892358061361,1406.3790852223406,1418.5197886514006,9590254,-0.006059551924640431,,,
2025-04-07,1356.602294921875,1365.489314158466,1269.4320382766355,1313.1385736419368,21715252,0.033099112426035394,,,
2025-04-08,1387.7310791015625,1414.6348317731379,1374.3276944448953,1389.8677955834949,12805001,-0.00153735232136616,,,
2025-04-09,1363.3524169921875,1368.9371407012397,1342.1791008495861,1364.663707842691,8546854,-0.0009608893700093669,1422.7586669921875,,
2025-04-11,1368.937255859375,1397.4437254302495,1356.893771609889,1370.6855647660782,12567440,-0.0012754996124888455,1406.5178920200892,,
2025-04-15,1385.011474609375,1406.087688754894,1368.5001176189407,1404.0480742507405,10178530,-0.013558367402429715,1389.291957310268,,
2025-04-16,1372.4822998046875,1386.4684147056246,1356.6508927211694,1384.0402738742662,12022740,-0.008350894325657944,1377.7201450892858,,
2025-04-17,1378.6982421875,1388.7022289531085,1338.6825322481727,1357.8162328834976,14264227,0.015379113018598076,1373.2592947823662,,
2025-04-21,1409.29296875,1429.4951483248678,1369.4714582615436,1369.4714582615436,15648970,0.029078014184397285,1380.7865339006696,,
2025-04-22,1381.903564453125,1398.6091260339042,1378.5041672717928,1398.6091260339042,9399738,-0.011944410536024372,1379.9540318080358,,
2025-04-23,1432.505859375,1445.0350886470426,1398.2204665039803,1404.4365301839098,11136642,0.01998618562521623,1389.8330950055804,,
2025-04-24,1429.1065673828125,1440.2760150192205,1419.4911061400271,1427.6496829084983,7114292,0.0010204775665596814,1398.4287109375,,
2025-04-25,1437.653564453125,1458.535575435,1421.4336312546193,1433.0887071514799,8329979,0.0031853278020162507,1405.949009486607,,
2025-04-28,1439.4989013671875,1446.7833234291916,1423.1818670852326,1437.6534907325017,5886253,0.0012836268590322958,1415.5228097098213,,
2025-04-29,1454.4564208984375,1466.4029217301106,1431.7289980215003,1439.4019470928108,8056743,0.010458839406207912,1426.3454066685267,,
2025-04-30,1456.9815673828125,1465.431568419441,1439.984581952398,1453.7764926957282,7704183,0.002204654362749521,1433.1580636160713,,
2025-05-02,1463.586181640625,1479.4175886205041,1453.1936678135066,1456.5930649551544,7402310,0.004801009186245077,1444.8270089285713,,
2025-05-05,1465.2373046875,1479.2234198282615,1459.6040889990923,1471.453369034679,4282493,-0.004224438557136906,1449.5029296875,,
2025-05-06,1468.0538330078125,1472.0359599506996,1456.0102317041706,1462.7119235923028,4270530,0.0036520584329348942,1455.0668247767858,,
2025-05-07,1464.9459228515625,1475.1441139885928,1453.5821530190785,1456.8844481471906,5691799,0.005533365885416771,1458.9657331194196,,
2025-05-08,1467.9569091796875,1472.9102929808603,1458.0500230157727,1464.654613791716,8424409,0.0022546580995109165,1463.0311628069196,,
2025-05-09,1464.2659912109375,1467.9568126185206,1451.1540310083215,1457.5642989506216,4478653,0.00459787075269393,1464.4325299944196,,
2025-05-12,1580.136962890625,1585.0903465111594,1487.96471253376,1492.8209942326298,11372857,0.05849058192196656,1482.026157924107,,
2025-05-13,1523.5125732421875,1565.859323230766,1519.627548132014,1562.7513505672503,12846210,-0.025108778380399283,1490.5870710100446,,
2025-05-14,1546.6285400390625,1549.1537826809642,1524.3867472838704,1528.75740058924,4870057,0.011689977391399263,1502.214390345982,,
2025-05-15,1566.6363525390625,1572.0753639006625,1525.8435894847285,1544.103254657481,11151167,0.014592999408306911,1516.297607421875,,
2025-05-16,1544.200439453125,1566.2479103864578,1536.0418626920532,1566.2479103864578,4576751,-0.014076616343508956,1527.6196812220983,,
2025-05-19,1514.965576171875,1539.4411867318856,1510.9833306187809,1531.185508443418,8855798,-0.010593054977402436,1534.335205078125,,
2025-05-20,1515.7425537109375,1537.9843466293191,1513.2173110505078,1524.8723866170074,7143998,-0.005987276696855114,1541.688999720982,,
2025-05-21,1523.41552734375,1525.8436681268927,1507.4869000940212,1522.832797268108,4157309,0.00038266188953079187,1533.5859375,,
2025-05-22,1503.01904296875,1515.936798484799,1495.7346211126817,1510.7890929485561,6158990,-0.005143040822886517,1530.6582903180804,,
2025-05-23,1519.8218994140625,1541.5779455953386,1505.447258808557,1505.447258808557,5038421,0.009548418598790246,1526.8287702287946,,
2025-05-26,1535.070556640625,1538.275749801986,1517.782147363295,1521.5700705826603,3170102,0.008872733710380453,1522.319370814732,,
2025-05-27,1524.9696044921875,1537.401733466409,1511.6634396332652,1534.487964353223,7775714,-0.006202955045690133,1519.5721086774554,,
2025-05-28,1526.6207275390625,1542.063608140773,1524.8724187426308,1535.556238237006,3623370,-0.005819070949952647,1521.2371303013392,,
2025-05-29,1540.0240478515625,1562.6543682753302,1531.2827406845122,1543.3263431603168,8609500,-0.0021397258741738955,1524.7059151785713,,
2025-05-30,1539.1375732421875,1548.297396005105,1531.652190030095,1547.3124739974683,13148092,-0.005283290151575509,1526.9519217354912,,
2025-06-02,1530.371826171875,1536.4782943781508,1515.7949327230604,1536.4782943781508,4374509,-0.0039743276742788495,1530.8594621930804,,
2025-06-03,1519.734619140625,1543.6682714095227,1512.4461724234918,1535.4933708621093,6853403,-0.010262989095574174,1530.8469935825892,,
2025-06-04,1527.8109130859375,1533.8190332918903,1518.158749909477,1519.7346010168856,4548307,0.005314291102964893,1529.8099016462054,,
2025-06-05,1530.8642578125,1544.0621159555858,1518.3556767230737,1524.5607331925255,6948539,0.004134649727449376,1530.6519949776787,,
2025-06-06,1540.2210693359375,1545.2441474823067,1519.8331118292815,1531.2581829658582,3960020,0.005853282267996979,1532.5949009486608,,
2025-06-09,1549.183837890625,1564.0561360451065,1547.3124620446238,1554.2069160448225,2903202,-0.0032319236919755344,1533.9034423828125,,
2025-06-10,1571.935546875,1583.2621501262925,1553.7144894707471,1560.116482612782,8591925,0.007575757575757569,1538.5888671875,,
2025-06-11,1606.5062255859375,1609.9534525332194,1566.1244242034918,1566.1244242034918,10597410,0.0257845422486041,1549.4652099609375,,
2025-06-12,1584.345458984375,1603.452969273507,1574.0037782857437,1592.6188275892266,10483574,-0.005194820293174071,1558.6953299386162,,
2025-06-13,1577.844970703125,1584.7394243828517,1546.5244044661895,1552.2369998927122,6968315,0.01649746192893402,1565.843052455357,,
2025-06-16,1599.31640625,1610.1505483486199,1573.01891647278,1575.875214344727,5591842,0.014875030517578228,1575.6219308035713,,
2025-06-17,1615.173583984375,1622.5604988569514,1591.2399317053334,1596.2630097727385,7622083,0.011846778441811274,1586.3294328962054,,
2025-06-18,1608.2791748046875,1619.9011823893957,1596.5585788351507,1596.5585788351507,5629707,0.0073411625009638945,1594.7716238839287,,
2025-06-19,1593.997802734375,1605.4228739879738,1587.2018168292147,1599.4148737815738,5147760,-0.003386908009921727,1597.923374720982,,
2025-06-20,1598.429931640625,1606.1122510729595,1584.6410236941556,1594.58871180959,9202821,0.002408909458963789,1596.7696184430804,,
2025-06-23,1560.116455078125,1576.8601291540897,1551.6461498856431,1576.8601291540897,7943676,-0.010618363522798229,1593.3083321707588,,
2025-06-24,1557.7525634765625,1584.739449496533,1552.827953627288,1576.860073737694,8083992,-0.012117441857627956,1590.43798828125,,
2025-06-25,1590.550537109375,1595.4751470327865,1561.199813873949,1566.025955644839,7813533,0.015660392713246877,1589.1857212611608,,
2025-06-26,1591.6339111328125,1599.5132869304996,1582.3756205245834,1584.5425210067874,6519233,0.004475354893928222,1585.8229108537946,,
2025-06-27,1583.7545166015625,1605.0288069577266,1578.238977654369,1594.5886581952298,8912268,-0.006794317479925787,1582.3193882533483,,
2025-06-30,1577.6480712890625,1590.648993297183,1570.064099926214,1590.648993297183,6294505,-0.0081733443788699,1579.9837123325892,,
2025-07-01,1582.57275390625,1593.308307768125,1576.3676970723639,1584.7395342639384,4178937,-0.0013672785406308226,1577.7184012276787,,
2025-07-02,1586.2169189453125,1624.1364168524187,1579.2239966239758,1593.6038341220215,8653641,-0.004635352286773766,1581.4470389229912,,
2025-07-03,1594.293212890625,1607.786716594206,1590.6490495377586,1594.0962765801005,5259695,0.00012354103915668412,1586.6671316964287,,
2025-07-04,1615.96142578125,1618.6207872342948,1587.9897380569496,1600.4981989662078,4411273,0.009661508413461604,1590.2972586495537,,
2025-07-07,1602.4681396484375,1619.2118141254034,1598.5284515362102,1615.2721260131761,3294523,-0.007926829268292718,1591.845005580357,,
2025-07-08,1613.9915771484375,1621.378491891406,1597.0509674297891,1603.4529602070286,4590681,0.0065724515797758315,1596.164585658482,,
2025-07-09,1609.0670166015625,1613.3022292758048,1599.1193284889714,1613.1052929685202,4580828,-0.0025034177152355895,1600.6530064174108,,
